Department,Department Abbreviation,Body/Agency,Agency Abbreviation,Name of service,April 2011 to March 2012: volume,April 2011 to March 2012: digital volume,April 2011 to March 2012: cost per transaction (£),January 2012 to December 2012: volume,January 2012 to December 2012: digital volume,January 2012 to December 2012: cost per transaction (£),April 2012 to March 2013: volume,April 2012 to March 2013: digital volume,April 2012 to March 2013: cost per transaction (£),July 2012 to June 2013: volume,July 2012 to June 2013: digital volume,July 2012 to June 2013: cost per transaction (£),October 2012 to September 2013: volume,October 2012 to September 2013: digital volume,October 2012 to September 2013: cost per transaction (£),January 2013 to December 2013: volume,January 2013 to December 2013: digital volume,January 2013 to December 2013: cost per transaction (£),Latest volume,Latest digital volume,Latest cost per transaction (£),Service Type,URL,Description of service,Notes on costs,Other notes,Customer type,Business model
Attorney General's Office,AGO,Crown Prosecution Service,CPS,Reimbursing witness expenses,55432,,,,,,,,,48362,,,47561,,,,,,47561,,,"Requesting benefits, payments or loans",http://www.cps.gov.uk/legal/v_to_z/witnesses_expenses_and_allowances/,,,,Individuals,Taxpayers
Attorney General's Office,AGO,Treasury Solicitor's Department,TSOL,Bona vacantia: referrals of estates and company assets,40000,,,,,,,,,16383,863,,18097,781,,,,,18097,781,,Providing information,https://www.gov.uk/unclaimed-estates-bona-vacantia,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Advisory, Conciliation and Arbitration Service",Acas,Acas elearning registrations,,,,,,,4027,,,5331,5331,,8624,8624,,15682,15682,,15682,15682,,Registering,https://elearning.acas.org.uk/,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Advisory, Conciliation and Arbitration Service",Acas,Acas publications: orders,1800,,,651,,,2163,,,6882,5177,,6085,4252,,6275,4065,,6275,4065,,Requesting information,http://acas.ecgroup.net/Browse.aspx,Service for ordering Acas publications. Orders can be placed online or by telephone.,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Advisory, Conciliation and Arbitration Service",Acas,Booking a training course,8000,,,2744,,,2723,,,5529,3434,,7681,3631,,9049,3631,,9049,3631,,Booking events and resources,https://obs.acas.org.uk/,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,"Advisory, Conciliation and Arbitration Service",Acas,Model Workplace registrations,2000,,,7668,,,10271,,,12210,12210,,11404,11360,,9479,9435,,9479,9435,,Registering,https://obs.acas.org.uk/modelworkplace/,,,,Business,Taxpayers
"Department for Business, Innovation and Skills",BIS,Companies House,,Change of name (filing transactions),51939,,,51939,27170,,51945,,,49753,30658,,51691,32253,,53199,33680,,53199,33680,,Providing information,http://www.companieshouse.gov.uk/,,,,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Companies House: other document filing,2247968,1858622,,2186450,1881386,3.88,2164642,1895386,3.77,2121339,1876489,3.86,2181655,1942289,3.65,2201110,1977719,3.53,2201110,1977719,3.53,Providing information,http://www.companieshouse.gov.uk/,"Registration of all other documents apart from accounts, annual returns and other fee bearing transactions. The many documents in this category can be filed by any limited liability entity, and fulfil a company's statutory registration obligations. Document filings can range from information provided by several thousand companies a year to a transaction filed by a company once in 5-10 years.","Filing an annual return incurs a fee which covers registration costs, accounts filing and all other document filing for limited liability companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.",,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Company accounts filed,2060509,852031,,2174095,1033709,8.08,2176312,1089601,8.02,2185258,1142043,8.78,2271593,1238057,7.70,2330947,1330535,7.67,2330947,1330535,7.67,Providing information,https://www.gov.uk/file-your-company-accounts-and-tax-return,The accounts are an annual statutory filing requirements of all limited companies and LLPs. They provide the public with accounts information. The costs of filing accounts is recovered through the Annual Fee attached to the Annual Return.,"Filing an annual return incurs a fee which covers registration costs, accounts filing and all other document filing for limited liability companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.",,Business,Fees and charges
"Department for Business, Innovation and Skills",BIS,Companies House,,Company annual returns filed,2262898,2184914,,2358738,2301214,2.63,2386535,2335621,2.60,2396894,2350837,2.60,2481770,2437220,2.57,2524684,2482552,2.45,2524684,2482552,2.45,Providing information,https://www.gov.uk/file-an-annual-return-with-companies-house,"The Annual Return is a statutory requirement of the Companies Act and applies to all Companies and LLPs.  This provides the public with a synopsis of the company every year and includes information on Directors, shareholders, Company type, and SIC codes.","Filing an annual return incurs a fee which covers registration costs, accounts filing and all other document filing for limited liability companies, where these services do not have separate fees. <br>The published cost per transaction is a cost per transaction for these product groups, and the overall cost is heavily influenced by the level of electronic take up per transaction type.",,Business,Fees and charges
